checkpoint_id,epoch,step,evaluation_status,overall,perHead,IT,EN,ES,negation,temporal,referents,unknownAmbiguous,claimKind,dialogueAct,statusAlternatives,preservationRegression,regression_class,selected
student5-matrix-nlu-v3-fp32-cp47-run1-epoch-01,1,137,NOT_EVALUATED_MISSING_CANONICAL_EVAL_SET,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,False
student5-matrix-nlu-v3-fp32-cp47-run1-epoch-02,2,274,NOT_EVALUATED_MISSING_CANONICAL_EVAL_SET,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,False
student5-matrix-nlu-v3-fp32-cp47-run1-epoch-03,3,411,NOT_EVALUATED_MISSING_CANONICAL_EVAL_SET,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,False
student5-matrix-nlu-v3-fp32-cp47-run1-epoch-04,4,548,NOT_EVALUATED_MISSING_CANONICAL_EVAL_SET,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,False
student5-matrix-nlu-v3-fp32-cp47-run1-epoch-05,5,685,NOT_EVALUATED_MISSING_CANONICAL_EVAL_SET,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,False
student5-matrix-nlu-v3-fp32-cp47-run1-epoch-06,6,822,NOT_EVALUATED_MISSING_CANONICAL_EVAL_SET,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,False
student5-matrix-nlu-v3-fp32-cp47-run1-epoch-07,7,959,NOT_EVALUATED_MISSING_CANONICAL_EVAL_SET,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,False
student5-matrix-nlu-v3-fp32-cp47-run1-epoch-08,8,1096,NOT_EVALUATED_MISSING_CANONICAL_EVAL_SET,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,False
student5-matrix-nlu-v3-fp32-cp47-run1-epoch-09,9,1233,NOT_EVALUATED_MISSING_CANONICAL_EVAL_SET,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,False
student5-matrix-nlu-v3-fp32-cp47-run1-epoch-10,10,1370,NOT_EVALUATED_MISSING_CANONICAL_EVAL_SET,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,False
